id,text,lang,category
1756362317669834907, There are 13 refences to the Beau Biden documents mixed in with the classified documents in the Hur report that  didnt read, but she says that is impossible ££££££££ Denial aint just a river in Mexico LOL,en,US
1756362317669834907, There are 13 refences to the Beau Biden documents mixed in with the classified documents in the Hur report that  didnt read, but she says that is impossible ££££££££ Denial aint just a river in Mexico LOL,en,US
1756362317669834907, There are 13 refences to the Beau Biden documents mixed in with the classified documents in the Hur report that  didnt read, but she says that is impossible ££££££££ Denial aint just a river in Mexico LOL,en,US
1755999892600676591, Yes yes,en,US
1755999914947928082, Never ever,en,US
1755999924682961182, Its sad that you are all butt hurt over Donald Trump stopping the quotas of child sex slaves being delivered to your door step in New York because we all know youre a raging chomo that will even stick your dick in household pets or pull a Richard Gere with a gerbil 
1755999987635216422,  Spreading Russian misinformation that is,en,US
1755999954118549730,  But but 
1755999897990623730,RT  Here is the full article

1756362250334478674,How your memory really works, and how it changes as you age


1756362250334478674,How your memory really works, and how it changes as you age


1756362250334478674,How your memory really works, and how it changes as you age


1755999938524463203,RT  REMINDER Donald Trump had to pay 83 MILLION to a woman for RAPING her,en,US
1756362356341297254,   Saw short video of you claiming Biden did nothing wrong with the classified documents he had

Lady, Biden wasnt even president when he STOLE classified documents and took them HOME We have no idea how any crack head friends of Hunters rifled through those boxes in the garage 
1756362356341297254,   Saw short video of you claiming Biden did nothing wrong with the classified documents he had

Lady, Biden wasnt even president when he STOLE classified documents and took them HOME We have no idea how any crack head friends of Hunters rifled through those boxes in the garage 
1756362356341297254,   Saw short video of you claiming Biden did nothing wrong with the classified documents he had

Lady, Biden wasnt even president when he STOLE classified documents and took them HOME We have no idea how any crack head friends of Hunters rifled through those boxes in the garage 
1756362246345629945,RT  Try it, Sleepy Creepy Joe

Please  I want to watch


1756362246345629945,RT  Try it, Sleepy Creepy Joe

Please  I want to watch


1756362246345629945,RT  Try it, Sleepy Creepy Joe

Please  I want to watch


1755999870098284972,   ÇÇÇhonest
ÇÇÇReporter
Good one ÇÇå,en,US
